label,id,base_id,sources,names,categories,confidence,websites,socials,emails,phones,brand,addresses,base_sources,base_names,base_categories,base_confidence,base_websites,base_socials,base_emails,base_phones,base_brand,base_addresses
1.0,562949955099525,562949956976257,"[{""dataset"":""Microsoft"",""record_id"":""562949955099525"",""update_time"":""2015-05-15T08:32:53.803"",""confidence"":0.77}]","{""primary"":""Redbox""}","{""primary"":""clothing_rental"",""alternate"":[""video_and_video_game_rentals"",""clothing_store"",""books_mags_music_and_video"",""rental_services"",""rental_kiosks"",""real_estate_service"",""kiosk"",""food"",""retail""]}",0.77,"[""""]",,,"[""8667332693""]","{""names"":{}}","[{""freeform"":""275 Rainier Ave S"",""locality"":""Renton"",""region"":""WA"",""country"":""US"",""postcode"":""98057""}]","[{""dataset"":""Microsoft"",""record_id"":""562949956976257"",""update_time"":""2021-12-03T10:34:56.41"",""confidence"":0.77}]","{""primary"":""Redbox""}","{""primary"":""clothing_rental"",""alternate"":[""video_and_video_game_rentals"",""clothing_store"",""books_mags_music_and_video"",""rental_services"",""rental_kiosks"",""real_estate_service"",""kiosk"",""food"",""retail""]}",0.77,"[""https://www.redbox.com/locations/washington/renton/98057/22767""]",,,"[""8667332693""]","{""names"":{}}","[{""freeform"":""275 Rainier Ave S"",""locality"":""Renton"",""region"":""WA"",""country"":""US"",""postcode"":""98057""}]"
1.0,08f2ad6802b8366303f0687deffe6ebc,1125899910033351,"[{""property"":"""",""dataset"":""meta"",""record_id"":""100516172113354"",""update_time"":""2025-01-06T00:00:00.000Z""},{""property"":""/properties/existence"",""dataset"":""msft"",""record_id"":""1688849866413772"",""update_time"":""2025-01-06T00:00:00.000Z""},{""property"":""/properties/existence"",""dataset"":""msft"",""record_id"":""1125899911574794"",""update_time"":""2025-01-06T00:00:00.000Z""},{""property"":""/properties/existence"",""dataset"":""msft"",""record_id"":""1125899910033448"",""update_time"":""2025-01-06T00:00:00.000Z""},{""property"":""/properties/existence"",""dataset"":""msft"",""record_id"":""1125899910033351"",""update_time"":""2025-01-06T00:00:00.000Z""}]","{""primary"":""Love & Co""}","{""primary"":""automotive_repair"",""alternate"":[""auto_body_shop"",""auto_glass_service""]}",0.9962614185921548,"[""http://www.loveandcompanycollision.com/""]","[""https://www.facebook.com/100516172113354""]",,"[""+19195535739""]",,"[{""freeform"":""4084 NC 42 Hwy W"",""locality"":""Garner"",""postcode"":""27529-8424"",""region"":""NC"",""country"":""US""}]","[{""dataset"":""Microsoft"",""record_id"":""1125899910033351"",""update_time"":""2024-12-27T03:54:21.93"",""confidence"":0.77}]","{""primary"":""Love & Company Paint & Collision""}","{""primary"":""auto_glass_service"",""alternate"":[""auto_body_shop"",""automotive""]}",0.77,"[""http://www.loveandcompany4042.com/""]",,,"[""9195535739""]","{""names"":{}}","[{""freeform"":""4084 N Carolina 42"",""locality"":""Garner"",""region"":""NC"",""country"":""US"",""postcode"":""27529""}]"
1.0,08f12c10162750910337ff208319bcb4,844424933602856,"[{""property"":"""",""dataset"":""meta"",""record_id"":""1896763777235028"",""update_time"":""2025-01-06T00:00:00.000Z""},{""property"":""/properties/existence"",""dataset"":""msft"",""record_id"":""844424933602856"",""update_time"":""2025-01-06T00:00:00.000Z""},{""property"":""/properties/existence"",""dataset"":""msft"",""record_id"":""1688849863503442"",""update_time"":""2025-01-06T00:00:00.000Z""}]","{""primary"":""Little Sister Getaways""}","{""primary"":""holiday_rental_home"",""alternate"":[""accommodation"",""hotel""]}",0.9802857142857143,"[""http://www.littlesistergetaways.com/""]","[""https://www.facebook.com/1896763777235028""]",,"[""+14036883400""]",,"[{""freeform"":""133 Bow Valley Trl"",""locality"":""Canmore"",""postcode"":""T1W"",""region"":""AB"",""country"":""CA""}]","[{""dataset"":""Microsoft"",""record_id"":""844424933602856"",""update_time"":""2024-12-04T17:53:58.043"",""confidence"":0.77}]","{""primary"":""LITTLE SISTER GETAWAYS - formerly Fenwick Vacation Rentals""}","{""primary"":""vacation_rental_agents"",""alternate"":[""holiday_rental_home"",""travel""]}",0.77,"[""http://www.littlesistergetaways.com/""]",,,"[""4036883400""]","{""names"":{}}","[{""freeform"":""133B - 306 Bow Valley Trail"",""locality"":""Canmore"",""region"":""AB"",""country"":""CA"",""postcode"":""T1W0N2""}]"
0.0,08f266daddb534d203e8a9d36d5116d9,1125899908997881,"[{""property"":"""",""dataset"":""meta"",""record_id"":""102081412255625"",""update_time"":""2025-01-06T00:00:00.000Z""},{""property"":""/properties/existence"",""dataset"":""msft"",""record_id"":""1970324842137918"",""update_time"":""2025-01-06T00:00:00.000Z""},{""property"":""/properties/existence"",""dataset"":""msft"",""record_id"":""1970324842137886"",""update_time"":""2025-01-06T00:00:00.000Z""},{""property"":""/properties/existence"",""dataset"":""msft"",""record_id"":""1125899909362476"",""update_time"":""2025-01-06T00:00:00.000Z""},{""property"":""/properties/existence"",""dataset"":""msft"",""record_id"":""1125899909362424"",""update_time"":""2025-01-06T00:00:00.000Z""}]","{""primary"":""CHI Saint Joseph Health Outpatient Rehabilitation""}","{""primary"":""hospital"",""alternate"":[""physical_therapy"",""abuse_and_addiction_treatment""]}",0.9962614185921548,"[""https://www.chisaintjosephhealth.org/otptspeech?utm_source=LocalSearch&utm_medium=Facility&utm_campaign=CHIStJoseph&utm_term=CHISaintJosephHealth-OutpatientRehabilitationNEagleCreekDr&y_source=1_MTczMjIzMTQtNTU5LWxvY2F0aW9uLndlYnNpdGU%3D""]","[""https://www.facebook.com/102081412255625""]",,"[""+18599675737""]","{""names"":{""primary"":""CHI Saint Joseph Health""}}","[{""freeform"":""160 N Eagle Creek Dr"",""locality"":""Lexington"",""postcode"":""40509-2121"",""region"":""KY"",""country"":""US""}]","[{""dataset"":""Microsoft"",""record_id"":""1125899908997881"",""update_time"":""2020-07-30T11:40:39.49"",""confidence"":0.77}]","{""primary"":""CHI Saint Joseph Health - Saint Joseph East""}","{""primary"":""hospital"",""alternate"":[""health_and_medical""]}",0.77,"[""https://www.chisaintjosephhealth.org/saint-joseph-east-lexington""]",,,"[""8599675000""]","{""names"":{}}","[{""freeform"":""150 N Eagle Creek Dr"",""locality"":""Lexington"",""region"":""KY"",""country"":""US"",""postcode"":""40509""}]"
0.0,1407374888319307,844424934540079,"[{""dataset"":""Microsoft"",""record_id"":""1407374888319307"",""update_time"":""2024-12-13T13:03:31.157"",""confidence"":0.77}]","{""primary"":""Atrium Health Wake Forest Baptist Pediatric Endocrinology - Ardmore Tower""}","{""primary"":""medical_center"",""alternate"":[""health_and_medical""]}",0.77,"[""https://www.wakehealth.edu/locations/clinics/p/pediatric-endocrinology-ardmore-tower""]",,,"[""3367134500""]","{""names"":{}}","[{""freeform"":""1 Medical Center Blvd 7th Floor"",""locality"":""Winston-Salem"",""region"":""NC"",""country"":""US"",""postcode"":""27157""}]","[{""dataset"":""Microsoft"",""record_id"":""844424934540079"",""update_time"":""2024-12-28T20:08:22.87"",""confidence"":0.77}]","{""primary"":""Atrium Health Wake Forest Baptist Internal Medicine - Janeway Tower""}","{""primary"":""medical_center"",""alternate"":[""health_and_medical""]}",0.77,"[""https://www.wakehealth.edu/locations/clinics/i/internal-medicine-janeway-tower?utm_source=GMB&utm_medium=Organic&utm_campaign=AHWFB""]",,,"[""3367162011""]","{""names"":{}}","[{""freeform"":""1 Medical Center Blvd 7th Floor"",""locality"":""Winston-Salem"",""region"":""NC"",""country"":""US"",""postcode"":""27157""}]"
0.0,2251799818855150,2251799818857536,"[{""dataset"":""Microsoft"",""record_id"":""2251799818855150"",""update_time"":""2019-06-17T08:43:00.813"",""confidence"":0.77}]","{""primary"":""Dr. Sankar R""}","{""primary"":""obstetrician_and_gynecologist"",""alternate"":[""doctor"",""hospital"",""health_and_medical""]}",0.77,"[""https://www.askapollo.com/physical-appointment/doctor/chennai/orthopedician/dr-sankar-r?utm_source=bingplaces&utm_medium=bingmaps&utm_campaign=organic""]",,,"[""18605001066""]","{""names"":{}}","[{""freeform"":""Apollo Children Hospital, No. 15, Shafee Mohammed Road, Thousand Lights"",""locality"":""Chennai"",""region"":""Tamil Nadu"",""country"":""IN"",""postcode"":""600006""}]","[{""dataset"":""Microsoft"",""record_id"":""2251799818857536"",""update_time"":""2019-06-17T08:43:00.813"",""confidence"":0.77}]","{""primary"":""Dr. Bhaskar S""}","{""primary"":""doctor"",""alternate"":[""hospital"",""health_and_medical""]}",0.77,"[""""]",,,"[""18605001066""]","{""names"":{}}","[{""freeform"":""Apollo Hospitals Greams Road, No: 21, Greams Lane, Off Greams Road"",""locality"":""Chennai"",""region"":""Tamil Nadu"",""country"":""IN"",""postcode"":""600006""}]"
1.0,1970324839168668,2251799821143406,"[{""dataset"":""Microsoft"",""record_id"":""1970324839168668"",""update_time"":""2021-09-20T03:02:35.137"",""confidence"":0.77}]","{""primary"":""Boost Mobile""}","{""primary"":""electronics"",""alternate"":[""mobile_phone_store"",""retail""]}",0.77,"[""https://www.boostmobile.com/locations/bd/boost-mobile-ca-san-bernardino-501-n-mt-vernon-92411/""]",,,"[""9093841080""]","{""names"":{}}","[{""freeform"":""501 N Mt Vernon Ave"",""locality"":""San Bernardino"",""region"":""CA"",""country"":""US"",""postcode"":""92411""}]","[{""dataset"":""Microsoft"",""record_id"":""2251799821143406"",""update_time"":""2024-12-31T04:18:09.817"",""confidence"":0.77}]","{""primary"":""Boost Mobile""}","{""primary"":""electronics"",""alternate"":[""mobile_phone_store"",""retail""]}",0.77,"[""https://www.boostmobile.com/locations/bd/boost-mobile-ca-san-bernardino-501-n-mt-vernon-92411/?utm_source=bing&utm_medium=lastmile&utm_campaign=0015e00000jB8xCAAS""]",,,"[""9093841080""]","{""names"":{}}","[{""freeform"":""501 N Mt Vernon Ave"",""locality"":""San Bernardino"",""region"":""CA"",""country"":""US"",""postcode"":""92411""}]"
1.0,08f2f5a300b04c580376f699579ff69c,562949964687863,"[{""property"":"""",""dataset"":""meta"",""record_id"":""563278624023858"",""update_time"":""2025-01-06T00:00:00.000Z""},{""property"":""/properties/existence"",""dataset"":""msft"",""record_id"":""562949964687863"",""update_time"":""2025-01-06T00:00:00.000Z""}]","{""primary"":""The North Face""}","{""primary"":""outdoor_gear"",""alternate"":[""sporting_goods""]}",0.9877528662420382,"[""https://www.goldwin.co.jp/tnf/shoplist/?id=0216""]","[""https://www.facebook.com/563278624023858""]",,"[""+81343765222""]","{""names"":{""primary"":""The North Face""}}","[{""freeform"":""東京都足立区千住３丁目９２"",""locality"":""足立区"",""postcode"":""120-0034"",""country"":""JP""}]","[{""dataset"":""Microsoft"",""record_id"":""562949964687863"",""update_time"":""2024-10-28T09:16:54.707"",""confidence"":0.77}]","{""primary"":""THE NORTH FACE (ザ・ノース・フェイス) 北千住マルイ""}","{""primary"":""sports_wear"",""alternate"":[""retail""]}",0.77,"[""https://www.goldwin.co.jp/tnf/shoplist/""]",,,"[""0343765222""]","{""names"":{}}","[{""freeform"":""千住3-92, 北千住マルイ 5F"",""locality"":""足立区"",""region"":""東京都"",""country"":""JP"",""postcode"":""〒120-8501""}]"
1.0,1688849864825791,281474976961138,"[{""dataset"":""Microsoft"",""record_id"":""1688849864825791"",""update_time"":""2022-10-24T17:09:35.817"",""confidence"":0.77}]","{""primary"":""Wesley Willows""}","{""primary"":""political_organization"",""alternate"":[""assisted_living_facility"",""government_services"",""organization"",""health_and_medical""]}",0.77,"[""https://wesleywillows.org/""]",,,"[""8153161500""]","{""names"":{}}","[{""freeform"":""4141 N Rockton Ave"",""locality"":""Rockford"",""region"":""IL"",""country"":""US"",""postcode"":""61103""}]","[{""dataset"":""Microsoft"",""record_id"":""281474976961138"",""update_time"":""2011-03-15T05:50:31.527"",""confidence"":0.77}]","{""primary"":""Wesley Willows""}","{""primary"":""political_organization"",""alternate"":[""assisted_living_facility"",""government_services"",""organization"",""health_and_medical""]}",0.77,"[""http://wesleywillows.org/""]",,,"[""8153161500""]","{""names"":{}}","[{""freeform"":""4141 N Rockton Ave"",""locality"":""Rockford"",""region"":""IL"",""country"":""US"",""postcode"":""61103""}]"
1.0,08f2653361cad89403d88329e407645b,1125899912852952,"[{""property"":"""",""dataset"":""meta"",""record_id"":""178071805546441"",""update_time"":""2025-01-06T00:00:00.000Z""},{""property"":""/properties/existence"",""dataset"":""msft"",""record_id"":""1125899912852952"",""update_time"":""2025-01-06T00:00:00.000Z""}]","{""primary"":""Worsham Law Firm""}","{""primary"":""wills_trusts_and_probate"",""alternate"":[""lawyer"",""criminal_defense_law""]}",0.9858576051779935,"[""https://www.WillWorshamlaw.com/""]","[""https://www.facebook.com/178071805546441""]",,"[""+14175800291""]",,"[{""freeform"":""203 Jamestown Blvd"",""locality"":""Rogersville"",""postcode"":""65742-6526"",""region"":""MO"",""country"":""US""}]","[{""dataset"":""Microsoft"",""record_id"":""1125899912852952"",""update_time"":""2024-11-19T09:06:46.31"",""confidence"":0.77}]","{""primary"":""Worsham Law Firm""}","{""primary"":""estate_planning_law""}",0.77,"[""https://www.logroglaw.com/""]",,,"[""4178639455""]","{""names"":{}}","[{""freeform"":""203 Jamestown Blvd Unit C"",""locality"":""Rogersville"",""region"":""MO"",""country"":""US"",""postcode"":""65742""}]"
1.0,1125899912161315,1125899912252404,"[{""dataset"":""Microsoft"",""record_id"":""1125899912161315"",""update_time"":""2023-04-27T17:52:41.803"",""confidence"":0.77}]","{""primary"":""Tilleman Motor CO.""}","{""primary"":""tire_shop"",""alternate"":[""used_car_dealer"",""automotive"",""retail""]}",0.77,"[""http://www.tillemanmotor.com/""]",,,"[""4064146076""]","{""names"":{}}","[{""freeform"":""4514 U S 2"",""locality"":""Havre"",""region"":""MT"",""country"":""US"",""postcode"":""59501""}]","[{""dataset"":""Microsoft"",""record_id"":""1125899912252404"",""update_time"":""2024-04-23T05:26:45.203"",""confidence"":0.77}]","{""primary"":""Tilleman Motor Co. CDJR""}","{""primary"":""automotive""}",0.77,"[""https://www.tillemanmotor.net/""]",,,"[""4062655428""]","{""names"":{}}","[{""freeform"":""4500 U S 2"",""locality"":""Havre"",""region"":""MT"",""country"":""US"",""postcode"":""59501""}]"
